ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
16080	ENSG00000132780.17	NASP	chr1	+	45600384	45600457	45591222	45591270	45602254	45602365	16080	59,41,58,49	199,154,213,183	293,292,355,230	76,45,95,58	173	100	0	0	0.146,0.133,0.136,0.134	0.69,0.79,0.684,0.696	-0.578
16081	ENSG00000132780.17	NASP	chr1	+	45600384	45600457	45594693	45594773	45602254	45602365	16081	20,16,23,25	10,4,1,0	154,141,158,103	0,1,4,0	173	100	0.0187277207681	0.539431151382216	0.536,0.698,0.93,1.0	1.0,0.988,0.958,1.0	-0.195
16082	ENSG00000132780.17	NASP	chr1	+	45602254	45602365	45591222	45591270	45604935	45604965	16082	441,353,507,377	1,10,4,17	339,266,465,277	6,3,4,4	200	100	1	1	0.995,0.946,0.984,0.917	0.966,0.978,0.983,0.972	-0.014
16083	ENSG00000132780.17	NASP	chr1	+	45602254	45602365	45591222	45591270	45606481	45606591	16083	199,154,213,183	0,0,1,0	76,45,95,58	0,0,0,0	200	100	1	1	1.0,1.0,0.991,1.0	1.0,1.0,1.0,1.0	-0.002
16085	ENSG00000132780.17	NASP	chr1	+	45604935	45605016	45591222	45591270	45606481	45606532	16085	182,181,247,195	0,0,1,0	230,179,232,167	0,0,0,0	181	100	1	1	1.0,1.0,0.993,1.0	1.0,1.0,1.0,1.0	-0.002
16088	ENSG00000132780.17	NASP	chr1	+	45607320	45608337	45606481	45606591	45613168	45613248	16088	125,66,129,94	154,148,225,144	371,416,517,307	35,20,58,54	200	100	0	0	0.289,0.182,0.223,0.246	0.841,0.912,0.817,0.74	-0.593
16089	ENSG00000132780.17	NASP	chr1	+	45617462	45617591	45616625	45616703	45618060	45618213	16089	359,356,460,376	3,0,11,18	212,92,126,156	0,4,3,3	200	100	1	1	0.984,1.0,0.954,0.913	1.0,0.92,0.955,0.963	0.003
16784	ENSG00000273136.7	NBPF26	chr1	+	120805555	120805765	120793160	120793496	120807606	120807662	16784	29,18,39,19	2,0,2,0	1,1,2,3	3,0,0,1	200	100	1	1	0.879,1.0,0.907,1.0	0.143,1.0,1.0,0.6	0.261
16785	ENSG00000273136.7	NBPF26	chr1	+	120807606	120807709	120805555	120805765	120808544	120808759	16785	63,30,62,31	1,1,7,3	4,5,3,6	26,33,30,23	200	100	0	0	0.969,0.938,0.816,0.838	0.071,0.07,0.048,0.115	0.814
16786	ENSG00000273136.7	NBPF26	chr1	+	120822103	120822156	120818122	120818174	120823308	120823360	16786	21,7,30,13	2,0,3,2	0,5,2,3	16,23,28,19	153	100	0	0	0.873,1.0,0.867,0.809	0.0,0.124,0.045,0.094	0.822
16787	ENSG00000273136.7	NBPF26	chr1	+	120822103	120822267	120818122	120818174	120823308	120823360	16787	75,34,95,49	2,0,3,2	2,6,5,7	16,23,28,19	200	100	0	0	0.949,1.0,0.941,0.925	0.059,0.115,0.082,0.156	0.851
22895	ENSG00000128708.13	HAT1	chr2	+	171946707	171946783	171925536	171925641	171952880	171953001	22895	228,280,171,187	12,19,11,6	21,16,29,35	95,114,136,108	176	100	0	0	0.915,0.893,0.898,0.947	0.112,0.074,0.108,0.156	0.801
22896	ENSG00000128708.13	HAT1	chr2	+	171952880	171953001	171946707	171946783	171965337	171965517	22896	291,324,234,210	1,1,0,0	169,144,209,161	1,5,0,2	200	100	1	1	0.993,0.994,1.0,1.0	0.988,0.935,1.0,0.976	0.022
25904	ENSG00000113360.16	DROSHA	chr5	-	31515453	31515564	31514987	31515219	31521122	31521215	25904	17,28,15,38	92,72,41,78	137,132,166,169	6,7,4,18	200	100	0	0	0.085,0.163,0.155,0.196	0.919,0.904,0.954,0.824	-0.75
25905	ENSG00000113360.16	DROSHA	chr5	-	31515453	31515564	31514987	31515219	31526078	31526326	25905	18,21,15,37	9,1,4,2	77,82,90,112	0,2,12,8	200	100	0.248665918705	1	0.5,0.913,0.652,0.902	1.0,0.953,0.789,0.875	-0.162
25906	ENSG00000113360.16	DROSHA	chr5	-	31521122	31521215	31514987	31515219	31526078	31526912	25906	177,150,94,161	9,1,4,2	87,78,76,108	0,2,12,8	193	100	1	1	0.911,0.987,0.924,0.977	1.0,0.953,0.766,0.875	0.051
25907	ENSG00000113360.16	DROSHA	chr5	-	31521122	31521215	31515453	31515564	31526078	31526912	25907	93,92,60,94	7,6,6,7	151,127,153,164	10,7,6,18	193	100	1	1	0.873,0.888,0.838,0.874	0.887,0.904,0.93,0.825	-0.018
25908	ENSG00000113360.16	DROSHA	chr5	-	31531449	31531525	31530797	31530924	31531989	31532074	25908	116,79,50,109	7,7,3,8	23,18,3,26	34,28,37,23	176	100	0	0	0.904,0.865,0.904,0.886	0.278,0.268,0.044,0.391	0.645
32888	ENSG00000064102.15	INTS13	chr12	-	26914407	26914578	26913973	26914128	26916001	26916180	32888	122,129,106,102	4,12,4,7	16,9,13,27	49,59,48,87	200	100	0	0	0.938,0.843,0.93,0.879	0.14,0.071,0.119,0.134	0.781
36125	ENSG00000197563.11	PIGN	chr18	-	62113133	62113316	62109833	62109973	62114560	62114626	36125	212,154,140,156	2,9,0,10	149,186,198,161	0,10,11,7	200	100	1	1	0.981,0.895,1.0,0.886	1.0,0.903,0.9,0.92	0.01
36126	ENSG00000197563.11	PIGN	chr18	-	62140419	62140479	62138982	62139075	62143305	62143346	36126	171,128,102,153	5,2,6,4	155,161,142,131	1,1,0,0	160	100	1	1	0.955,0.976,0.914,0.96	0.99,0.99,1.0,1.0	-0.044
36128	ENSG00000197563.11	PIGN	chr18	-	62162252	62162329	62161132	62161385	62163530	62163656	36128	13,15,15,19	6,2,2,4	75,78,67,62	1,0,0,6	177	100	0.00111107853442	0.0456269857598218	0.55,0.809,0.809,0.729	0.977,1.0,1.0,0.854	-0.233
36129	ENSG00000197563.11	PIGN	chr18	-	62162252	62162329	62161132	62161385	62186843	62186975	36129	17,19,15,16	76,48,50,59	162,132,126,122	8,11,7,22	177	100	0	0	0.112,0.183,0.145,0.133	0.92,0.871,0.91,0.758	-0.722
36132	ENSG00000197563.11	PIGN	chr18	-	62163530	62163656	62161132	62161385	62186843	62186989	36132	20,16,12,31	76,48,50,59	14,17,21,25	8,11,7,22	200	100	1.55310958527e-06	8.85326768134854e-05	0.116,0.143,0.107,0.208	0.467,0.436,0.6,0.362	-0.323
36134	ENSG00000197563.11	PIGN	chr18	-	62163530	62163656	62162252	62162329	62186843	62186989	36134	16,20,16,36	6,12,6,6	18,28,34,26	93,67,72,71	200	100	2.93340352009e-10	2.10675231665318e-08	0.571,0.455,0.571,0.75	0.088,0.173,0.191,0.155	0.435
